
······ Experiment Configuration ······ 
- # Packages: 100, seeds: 1234, 2345, 3456, 4567, 5678, 6789, 7890, 8901, 9012, 123, 
- Proportion: 1.2, seeds: 1234, 2345, 3456, 4567, 5678, 6789, 7890, 8901, 9012, 123, 
······································

Steps	Stiter	K	Lamb	price	time
10000 	20 	25 	0.01	925,9720	24.8
10000 	20 	25 	0.001	953,7790	24.3
10000 	20 	25 	1.0E-4	964,4015	19.1
10000 	20 	125 	1.0	934,6715	1.7
10000 	20 	125 	0.1	932,0085	17.3
10000 	20 	125 	0.01	935,0690	27.1
10000 	20 	125 	0.001	962,9475	23.2
10000 	20 	125 	1.0E-4	965,1245	17.4
10000 	20 	500 	1.0	935,4440	1.6
10000 	20 	500 	0.1	928,8200	16.3
10000 	20 	500 	0.01	947,1680	28.7
10000 	20 	500 	0.001	964,9420	22.5
10000 	20 	500 	1.0E-4	965,4870	17.7
10000 	50 	1 	1.0	931,2715	1.7
10000 	50 	1 	0.1	926,0695	17.1
10000 	50 	1 	0.01	924,5725	22.6
10000 	50 	1 	0.001	923,7795	24.1
10000 	50 	1 	1.0E-4	932,3965	24.4
10000 	50 	5 	1.0	934,1685	1.6
10000 	50 	5 	0.1	926,3395	17.0
10000 	50 	5 	0.01	929,0380	27.7
10000 	50 	5 	0.001	932,2885	26.9
10000 	50 	5 	1.0E-4	960,7490	20.9
10000 	50 	25 	1.0	936,6280	3.6
10000 	50 	25 	0.1	930,4275	29.8
10000 	50 	25 	0.01	932,5330	26.9
10000 	50 	25 	0.001	961,9290	28.5
10000 	50 	25 	1.0E-4	963,4885	18.9
10000 	50 	125 	1.0	938,7570	1.6
10000 	50 	125 	0.1	930,9220	23.5
10000 	50 	125 	0.01	930,6980	32.5
10000 	50 	125 	0.001	963,9045	49.3
10000 	50 	125 	1.0E-4	964,3550	20.9
10000 	50 	500 	1.0	938,4690	2.7
10000 	50 	500 	0.1	934,1590	28.7
10000 	50 	500 	0.01	946,2695	28.0
10000 	50 	500 	0.001	965,0570	24.6
10000 	50 	500 	1.0E-4	965,2960	15.9
10000 	100 	1 	1.0	931,8555	1.6
10000 	100 	1 	0.1	926,3160	18.0
10000 	100 	1 	0.01	925,1690	42.3
10000 	100 	1 	0.001	924,9750	48.6
10000 	100 	1 	1.0E-4	933,8835	27.2
10000 	100 	5 	1.0	938,5310	1.9
10000 	100 	5 	0.1	929,7875	36.4
10000 	100 	5 	0.01	930,4335	26.8
10000 	100 	5 	0.001	933,8390	29.1
10000 	100 	5 	1.0E-4	962,2490	21.0
10000 	100 	25 	1.0	944,0060	1.7
10000 	100 	25 	0.1	930,8990	19.0
10000 	100 	25 	0.01	934,9100	25.4
10000 	100 	25 	0.001	955,6365	25.3
10000 	100 	25 	1.0E-4	964,4535	18.3
10000 	100 	125 	1.0	939,6865	1.9
10000 	100 	125 	0.1	936,7895	19.7
10000 	100 	125 	0.01	945,1625	26.5
10000 	100 	125 	0.001	965,7435	29.0
10000 	100 	125 	1.0E-4	963,2525	19.4
10000 	100 	500 	1.0	946,2325	1.9
10000 	100 	500 	0.1	929,1465	18.4
10000 	100 	500 	0.01	942,5810	25.9
10000 	100 	500 	0.001	963,8840	22.1
10000 	100 	500 	1.0E-4	964,9900	17.4
10000 	200 	1 	1.0	931,3655	1.8
10000 	200 	1 	0.1	926,2065	18.4
10000 	200 	1 	0.01	925,7355	25.4
10000 	200 	1 	0.001	926,0070	24.3
10000 	200 	1 	1.0E-4	937,0765	23.7
10000 	200 	5 	1.0	933,9365	1.7
10000 	200 	5 	0.1	929,2845	19.2
10000 	200 	5 	0.01	932,8940	25.4
10000 	200 	5 	0.001	943,2250	28.8
10000 	200 	5 	1.0E-4	957,0875	21.5
10000 	200 	25 	1.0	949,7995	1.7
10000 	200 	25 	0.1	937,8650	20.3
10000 	200 	25 	0.01	934,2405	28.3
10000 	200 	25 	0.001	960,5250	31.2
10000 	200 	25 	1.0E-4	963,2705	20.1
10000 	200 	125 	1.0	950,7690	2.2
10000 	200 	125 	0.1	936,9410	23.9
10000 	200 	125 	0.01	937,7470	31.6
10000 	200 	125 	0.001	964,8735	30.2
10000 	200 	125 	1.0E-4	964,7400	20.1
10000 	200 	500 	1.0	947,9000	1.9
10000 	200 	500 	0.1	940,1545	22.3
10000 	200 	500 	0.01	948,6370	28.3
10000 	200 	500 	0.001	965,0835	23.4
10000 	200 	500 	1.0E-4	964,7590	17.8
10000 	500 	1 	1.0	931,6945	2.1
10000 	500 	1 	0.1	926,4255	18.4
10000 	500 	1 	0.01	924,7710	26.1
10000 	500 	1 	0.001	923,5940	25.6
10000 	500 	1 	1.0E-4	935,1845	23.2
10000 	500 	5 	1.0	941,2770	2.0
10000 	500 	5 	0.1	934,6655	18.1
10000 	500 	5 	0.01	937,7660	25.9
10000 	500 	5 	0.001	939,2825	26.6
10000 	500 	5 	1.0E-4	963,5605	21.1
10000 	500 	25 	1.0	957,9395	2.0
10000 	500 	25 	0.1	947,0110	18.9
10000 	500 	25 	0.01	948,1180	28.6
10000 	500 	25 	0.001	958,8965	26.0
10000 	500 	25 	1.0E-4	964,7825	19.5
10000 	500 	125 	1.0	958,0810	1.8
10000 	500 	125 	0.1	943,6970	18.5
10000 	500 	125 	0.01	949,9430	26.5
10000 	500 	125 	0.001	962,9380	25.1
10000 	500 	125 	1.0E-4	963,4180	18.2
10000 	500 	500 	1.0	956,1900	1.9
10000 	500 	500 	0.1	947,0115	20.0
10000 	500 	500 	0.01	950,0015	25.5
10000 	500 	500 	0.001	964,6710	23.6
10000 	500 	500 	1.0E-4	964,8980	18.3
10000 	1000 	1 	1.0	943,3910	1.9
10000 	1000 	1 	0.1	923,7340	19.9
10000 	1000 	1 	0.01	924,0135	25.2
10000 	1000 	1 	0.001	928,3195	26.1
10000 	1000 	1 	1.0E-4	934,3930	22.3
10000 	1000 	5 	1.0	960,8730	1.8
10000 	1000 	5 	0.1	940,4105	19.5
10000 	1000 	5 	0.01	950,4435	24.8
10000 	1000 	5 	0.001	944,0670	25.5
10000 	1000 	5 	1.0E-4	962,4365	18.1
10000 	1000 	25 	1.0	964,1055	1.9
10000 	1000 	25 	0.1	953,9060	22.4
10000 	1000 	25 	0.01	955,4360	29.4
10000 	1000 	25 	0.001	961,2020	25.7
10000 	1000 	25 	1.0E-4	965,3905	18.8
10000 	1000 	125 	1.0	963,7475	2.0
10000 	1000 	125 	0.1	953,9585	21.4
10000 	1000 	125 	0.01	950,6940	27.2
10000 	1000 	125 	0.001	963,5780	21.5
10000 	1000 	125 	1.0E-4	965,1185	16.9
10000 	1000 	500 	1.0	963,0735	1.9
10000 	1000 	500 	0.1	960,3915	22.7
10000 	1000 	500 	0.01	956,9180	28.6
10000 	1000 	500 	0.001	963,0020	21.6
10000 	1000 	500 	1.0E-4	964,4915	15.7
