
······ Experiment Configuration ······ 
- # Packages: 100, seeds: 1234, 2345, 3456, 4567, 5678, 6789, 7890, 8901, 9012, 123, 
- Proportion: 1.2, seeds: 1234, 2345, 3456, 4567, 5678, 6789, 7890, 8901, 9012, 123, 
······································

Steps	Stiter	K	Lamb	price	time
1000 	5 	3 	0,5000	928,9840	2.1
1000 	5 	3 	0,2500	928,4525	2.2
1000 	5 	3 	0,1250	929,2655	2.1
1000 	5 	3 	0,0625	929,3385	2.1
1000 	5 	3 	0,0312	929,1590	2.1
1000 	5 	4 	0,5000	929,5015	2.1
1000 	5 	4 	0,2500	929,3030	2.1
1000 	5 	4 	0,1250	928,5835	2.2
1000 	5 	4 	0,0625	929,9075	2.1
1000 	5 	4 	0,0312	929,1300	2.2
1000 	5 	5 	0,5000	929,2495	2.1
1000 	5 	5 	0,2500	927,2780	2.6
1000 	5 	5 	0,1250	928,3680	2.1
1000 	5 	5 	0,0625	930,2945	2.2
1000 	5 	5 	0,0312	930,7545	2.2
1000 	5 	6 	0,5000	928,3705	2.3
1000 	5 	6 	0,2500	930,3990	2.3
1000 	5 	6 	0,1250	929,2640	2.3
1000 	5 	6 	0,0625	931,0560	2.3
1000 	5 	6 	0,0312	931,0375	2.2
1000 	5 	7 	0,5000	930,6155	2.4
1000 	5 	7 	0,2500	930,6025	2.2
1000 	5 	7 	0,1250	929,1740	2.2
1000 	5 	7 	0,0625	931,9295	2.3
1000 	5 	7 	0,0312	933,1230	2.3
1000 	5 	8 	0,5000	928,4835	2.1
1000 	5 	8 	0,2500	929,2515	2.1
1000 	5 	8 	0,1250	931,0330	2.3
1000 	5 	8 	0,0625	929,6915	2.1
1000 	5 	8 	0,0312	931,5255	2.1
1000 	5 	9 	0,5000	929,1770	2.1
1000 	5 	9 	0,2500	928,2425	2.2
1000 	5 	9 	0,1250	930,5865	2.0
1000 	5 	9 	0,0625	931,3465	2.5
1000 	5 	9 	0,0312	931,2530	2.2
1000 	5 	10 	0,5000	928,3665	2.2
1000 	5 	10 	0,2500	930,4190	2.2
1000 	5 	10 	0,1250	930,8660	2.3
1000 	5 	10 	0,0625	929,1520	2.2
1000 	5 	10 	0,0312	928,8690	2.5
1000 	10 	1 	0,5000	929,3980	2.6
1000 	10 	1 	0,2500	928,7780	2.2
1000 	10 	1 	0,1250	928,6620	2.3
1000 	10 	1 	0,0625	928,7100	2.2
1000 	10 	1 	0,0312	927,5675	2.3
1000 	10 	2 	0,5000	930,1320	2.2
1000 	10 	2 	0,2500	929,2400	2.2
1000 	10 	2 	0,1250	928,0635	2.2
1000 	10 	2 	0,0625	928,3295	2.1
1000 	10 	2 	0,0312	928,2190	2.1
1000 	10 	3 	0,5000	927,4380	2.3
1000 	10 	3 	0,2500	929,6355	2.1
1000 	10 	3 	0,1250	929,0855	2.1
1000 	10 	3 	0,0625	928,3390	2.1
1000 	10 	3 	0,0312	930,7655	2.1
1000 	10 	4 	0,5000	927,8085	2.1
1000 	10 	4 	0,2500	929,4045	2.2
1000 	10 	4 	0,1250	928,3985	2.3
1000 	10 	4 	0,0625	930,1605	2.3
1000 	10 	4 	0,0312	929,6350	2.2
1000 	10 	5 	0,5000	930,5880	2.2
1000 	10 	5 	0,2500	930,1045	2.3
1000 	10 	5 	0,1250	929,5550	2.2
1000 	10 	5 	0,0625	931,0625	2.2
1000 	10 	5 	0,0312	931,8380	2.3
1000 	10 	6 	0,5000	928,2870	2.3
1000 	10 	6 	0,2500	929,3945	2.3
1000 	10 	6 	0,1250	928,9425	2.4
1000 	10 	6 	0,0625	931,2940	2.1
1000 	10 	6 	0,0312	931,3930	2.2
1000 	10 	7 	0,5000	928,9165	2.4
1000 	10 	7 	0,2500	928,9650	2.1
1000 	10 	7 	0,1250	931,2345	2.1
1000 	10 	7 	0,0625	930,3615	2.0
1000 	10 	7 	0,0312	930,7390	2.1
1000 	10 	8 	0,5000	931,2485	2.1
1000 	10 	8 	0,2500	930,0460	2.2
1000 	10 	8 	0,1250	930,7945	2.1
1000 	10 	8 	0,0625	929,9275	2.2
1000 	10 	8 	0,0312	932,8660	2.0
1000 	10 	9 	0,5000	929,1835	2.2
1000 	10 	9 	0,2500	930,9400	2.3
1000 	10 	9 	0,1250	929,7955	2.1
1000 	10 	9 	0,0625	930,7315	2.0
1000 	10 	9 	0,0312	933,3710	2.4
1000 	10 	10 	0,5000	929,7310	2.4
1000 	10 	10 	0,2500	929,5365	2.2
1000 	10 	10 	0,1250	928,8915	2.4
1000 	10 	10 	0,0625	930,3045	2.3
1000 	10 	10 	0,0312	934,5315	2.3
1000 	20 	1 	0,5000	929,9575	2.4
1000 	20 	1 	0,2500	928,3540	2.4
1000 	20 	1 	0,1250	930,6420	2.3
1000 	20 	1 	0,0625	929,0005	2.4
1000 	20 	1 	0,0312	928,9095	2.6
1000 	20 	2 	0,5000	927,6430	2.3
1000 	20 	2 	0,2500	929,2500	2.3
1000 	20 	2 	0,1250	927,9120	2.4
1000 	20 	2 	0,0625	928,8925	2.3
1000 	20 	2 	0,0312	930,9975	2.3
1000 	20 	3 	0,5000	929,5745	2.5
1000 	20 	3 	0,2500	931,2225	2.2
1000 	20 	3 	0,1250	927,9915	2.2
1000 	20 	3 	0,0625	928,0590	2.2
1000 	20 	3 	0,0312	929,5745	2.2
1000 	20 	4 	0,5000	929,3930	2.2
1000 	20 	4 	0,2500	929,5860	2.2
1000 	20 	4 	0,1250	929,1780	2.4
1000 	20 	4 	0,0625	931,0050	2.2
1000 	20 	4 	0,0312	931,0640	2.4
1000 	20 	5 	0,5000	929,6895	2.3
1000 	20 	5 	0,2500	929,7010	2.3
1000 	20 	5 	0,1250	930,1145	2.2
1000 	20 	5 	0,0625	930,0050	2.1
1000 	20 	5 	0,0312	931,9375	2.1
1000 	20 	6 	0,5000	930,5665	2.2
1000 	20 	6 	0,2500	931,2490	2.4
1000 	20 	6 	0,1250	928,8425	2.7
1000 	20 	6 	0,0625	930,0270	2.3
1000 	20 	6 	0,0312	933,9965	2.5
1000 	20 	7 	0,5000	930,7985	2.5
1000 	20 	7 	0,2500	929,1285	2.6
1000 	20 	7 	0,1250	930,7750	2.4
1000 	20 	7 	0,0625	931,9420	2.4
1000 	20 	7 	0,0312	933,0030	2.6
1000 	20 	8 	0,5000	931,7315	2.3
1000 	20 	8 	0,2500	930,8350	2.2
1000 	20 	8 	0,1250	930,7890	2.3
1000 	20 	8 	0,0625	933,2610	2.3
1000 	20 	8 	0,0312	933,3600	2.3
1000 	20 	9 	0,5000	930,7845	2.4
1000 	20 	9 	0,2500	930,8385	2.5
1000 	20 	9 	0,1250	931,5315	2.4
1000 	20 	9 	0,0625	931,6200	2.4
1000 	20 	9 	0,0312	928,8270	2.4
1000 	20 	10 	0,5000	927,9520	2.3
