
······ Experiment Configuration ······ 
- # Packages: 100, seeds: 1234, 2345, 3456, 4567, 5678, 6789, 7890, 8901, 9012, 123, 
- Proportion: 1.2, seeds: 1234, 2345, 3456, 4567, 5678, 6789, 7890, 8901, 9012, 123, 
······································

Steps	Stiter	K	Lamb	price	time
10000 	6 	2 	1,0000	932,3740	1.7
10000 	6 	2 	0,5000	929,0860	3.6
10000 	6 	2 	0,1000	926,8980	17.5
10000 	6 	2 	0,0500	929,0425	24.6
10000 	6 	2 	0,0100	936,7610	27.1
10000 	6 	3 	1,0000	930,8950	1.8
10000 	6 	3 	0,5000	928,8490	3.4
10000 	6 	3 	0,1000	927,5250	18.1
10000 	6 	3 	0,0500	930,1470	26.0
10000 	6 	3 	0,0100	939,7320	26.8
10000 	7 	0 	1,0000	931,0630	1.8
10000 	7 	0 	0,5000	927,1315	3.4
10000 	7 	0 	0,1000	924,3155	21.3
10000 	7 	0 	0,0500	924,7850	22.6
10000 	7 	0 	0,0100	925,3040	24.4
10000 	7 	1 	1,0000	930,7060	1.7
10000 	7 	1 	0,5000	927,4100	3.6
10000 	7 	1 	0,1000	927,8840	17.5
10000 	7 	1 	0,0500	925,1770	23.9
10000 	7 	1 	0,0100	928,4705	24.3
10000 	7 	2 	1,0000	930,7160	1.7
10000 	7 	2 	0,5000	928,7900	3.4
10000 	7 	2 	0,1000	927,4700	17.9
10000 	7 	2 	0,0500	928,1125	23.6
10000 	7 	2 	0,0100	933,6210	25.5
10000 	7 	3 	1,0000	930,9950	1.6
10000 	7 	3 	0,5000	927,6535	3.4
10000 	7 	3 	0,1000	928,0555	16.3
10000 	7 	3 	0,0500	931,7170	24.0
10000 	7 	3 	0,0100	941,7305	26.8
10000 	8 	0 	1,0000	930,8670	1.8
10000 	8 	0 	0,5000	927,1880	3.6
10000 	8 	0 	0,1000	926,0880	18.1
10000 	8 	0 	0,0500	925,1585	23.0
10000 	8 	0 	0,0100	925,1080	23.6
10000 	8 	1 	1,0000	932,2985	1.6
10000 	8 	1 	0,5000	926,9810	3.2
10000 	8 	1 	0,1000	925,7830	16.2
10000 	8 	1 	0,0500	925,7490	23.3
10000 	8 	1 	0,0100	926,6020	24.4
10000 	8 	2 	1,0000	932,4750	1.8
10000 	8 	2 	0,5000	928,4465	3.3
10000 	8 	2 	0,1000	927,7275	17.4
10000 	8 	2 	0,0500	928,3185	22.7
10000 	8 	2 	0,0100	929,6015	24.4
10000 	8 	3 	1,0000	933,7435	1.7
10000 	8 	3 	0,5000	929,7440	3.2
10000 	8 	3 	0,1000	930,8510	16.6
10000 	8 	3 	0,0500	931,7565	24.0
10000 	8 	3 	0,0100	938,3585	26.7
10000 	9 	0 	1,0000	933,2115	1.8
10000 	9 	0 	0,5000	926,6025	3.5
10000 	9 	0 	0,1000	926,5595	17.8
10000 	9 	0 	0,0500	925,7420	23.6
10000 	9 	0 	0,0100	925,4695	22.5
10000 	9 	1 	1,0000	929,5350	1.6
10000 	9 	1 	0,5000	928,2525	3.2
10000 	9 	1 	0,1000	926,7195	16.8
10000 	9 	1 	0,0500	927,7330	23.2
