Packages	Initial	Price	Time
100	965.9834999999999	925.35165	28
150	1495.0280000000005	1408.1658000000004	73
200	1979.6355000000008	1886.2520499999994	142
250	2468.1350000000007	2336.1306000000013	237
300	2918.1490000000003	2761.3644999999988	331
350	3460.8589999999995	3260.8634500000007	480
400	3961.434500000004	3750.8845000000024	591
450	4460.401500000001	4215.106599999998	738
500	4973.148000000003	4704.545300000001	844
550	5469.927000000001	5177.983299999996	900
