Proportion	Initial	Price	Time
1.2	965.9834999999999	919.0425000000002	775 
1.4	959.1785	899.6845	844 
1.6	951.7139999999999	889.052	840 
1.8	939.3459999999999	885.1560000000002	865 
2.0	943.1590000000002	859.4100000000001	1216 
2.2	943.4314999999999	844.9089999999999	1333 
2.4000000000000004	941.7365000000002	828.2114999999998	1129 
2.6	942.691	829.0649999999999	1084 
2.8	944.7105000000001	815.5134999999999	1206 
3.0	944.5904999999999	813.2205	1235 
3.2	944.314	812.376	1178 
3.4000000000000004	941.5939999999998	812.787	1706 
3.6000000000000005	942.0075	805.9515000000001	2146 
3.8	940.3155000000004	802.4095000000004	2500 
4.0	939.4550000000002	794.969	2284 
4.2	936.5	790.7234999999998	1960 
4.4	939.3114999999998	786.9139999999999	1710 
4.6000000000000005	945.9825000000001	785.5995000000003	1836 
4.8	945.1469999999999	784.3205	2029 
5.0	949.4864999999998	782.3199999999999	2721 
5.2	949.1279999999997	781.9260000000002	2868 
5.4	943.6224999999998	778.7735	3180 
5.6000000000000005	949.1995000000001	777.4789999999999	2749 
5.800000000000001	939.6480000000001	775.1440000000001	3054 
6.000000000000001	940.512	773.9420000000002	3804 
6.2	941.0459999999999	775.392	3792 
6.4	952.3669999999998	777.5134999999998	3835 
6.6000000000000005	954.5825000000001	776.9135000000003	3729 
6.800000000000001	949.6839999999999	775.5150000000001	3931 
7.000000000000001	947.8709999999999	773.2834999999999	3984 
7.2	942.1975	772.2690000000002	3592 
7.4	947.7855	773.0335000000001	3609 
7.6000000000000005	940.3965000000001	772.7350000000005	4170 
7.800000000000001	942.5865	772.6175000000001	4410 
8.0	938.5035	775.5695000000002	3497 
8.2	944.4110000000001	774.2764999999999	2687 
8.4	943.939	774.5804999999998	3838 
8.6	940.9224999999999	775.4009999999998	4652 
8.8	934.7569999999998	774.9294999999997	3505 
9.0	938.3795	773.8325000000001	4263 
9.2	945.1544999999999	773.9469999999998	5506 
9.4	938.912	772.4169999999998	5120 
9.6	935.9220000000001	771.5754999999998	5390 
9.799999999999999	944.5810000000001	769.5295	4728 
10.0	938.7365000000002	769.6895000000002	4157 
10.2	940.2400000000001	768.9675000000001	5219 
10.4	935.2420000000002	769.9140000000003	5270 
10.6	945.6300000000003	768.4490000000003	3797 
10.8	940.5015	768.3180000000002	6984 
11.0	937.4304999999998	769.4889999999999	5364 
11.2	933.2090000000002	768.5750000000004	6921 
11.4	939.5269999999998	769.1785000000002	6473 
11.6	936.024	768.6479999999999	7370 
11.8	929.244	768.314	7173 
12.0	934.668	768.4910000000001	5958 
12.2	945.5579999999997	768.3489999999999	6747 
12.4	949.4905000000002	767.7495000000005	6123 
12.6	957.9600000000003	767.4855000000002	6664 
12.8	956.3555000000002	767.7365000000004	8426 
13.0	942.0915000000001	768.3915	5355 
13.2	947.4495	767.7445	7158 
13.4	950.7079999999999	768.1905	6271 
13.6	946.4905000000001	767.6120000000001	6955 
13.8	945.5369999999997	767.3475000000002	8345 
14.0	944.8115	766.5860000000001	8361 
14.2	944.338	766.7740000000001	8788 
14.4	948.3019999999999	767.5545000000001	9840 
14.6	938.0004999999999	767.3840000000001	6752 
14.8	940.2970000000001	766.8520000000002	5702 
15.0	932.7570000000002	766.8460000000006	6263 
15.2	936.7110000000002	766.5020000000002	7308 
15.4	931.1825000000001	767.075	4202 
15.6	933.6374999999998	766.4685000000001	5887 
15.8	946.6754999999997	765.9150000000002	4861 
16.0	951.4464999999997	766.0039999999999	6765 
16.2	949.8635	765.7745	6241 
16.400000000000002	951.5715000000002	765.327	6751 
16.6	957.8879999999999	765.1370000000002	7330 
16.8	953.2579999999998	765.2555000000001	8483 
17.0	951.844	765.6535	7786 
17.2	943.7460000000003	766.0835000000003	8066 
17.4	944.5045	765.7035000000002	5276 
17.6	936.006	765.7735	6653 
17.8	946.1115	765.6375000000002	7204 
18.0	941.9109999999997	765.72	6935 
18.2	930.4074999999999	764.7160000000001	7405 
18.4	938.8299999999999	764.7450000000001	8288 
18.6	949.116	765.3	9173 
18.8	940.3949999999998	765.6170000000001	8564 
19.0	937.0045	765.8005	8296 
19.2	939.6285	765.7900000000002	4271 
19.4	943.0555	765.7855	5375 
19.6	940.7970000000003	765.4885000000003	5057 
19.8	942.7164999999998	765.6610000000002	5072 
20.0	937.4495000000001	764.8985000000002	4719 
20.2	930.0475	764.7780000000002	5332 
20.400000000000002	933.8455	764.9995000000001	4907 
20.6	938.25	764.8345000000002	5655 
20.8	942.9784999999999	764.7940000000004	5387 
21.0	942.0195000000003	764.5180000000004	4925 
