
······ Experiment Configuration ······ 
- # Packages: 100, seed: 1234
- Proportion: 1.2, seed: 1234
······································

Steps: 1000 	|	Stiter: 2 	|	K: 4 	|	Lamb: 0,0312	|	Mean price: 798,0815	|	Mean time: 16 miliseconds
Steps: 1000 	|	Stiter: 2 	|	K: 5 	|	Lamb: 0,5000	|	Mean price: 795,9065	|	Mean time: 17 miliseconds
Steps: 1000 	|	Stiter: 2 	|	K: 5 	|	Lamb: 0,2500	|	Mean price: 796,8845	|	Mean time: 17 miliseconds
Steps: 1000 	|	Stiter: 2 	|	K: 5 	|	Lamb: 0,1250	|	Mean price: 798,3855	|	Mean time: 17 miliseconds
Steps: 1000 	|	Stiter: 2 	|	K: 5 	|	Lamb: 0,0625	|	Mean price: 798,8325	|	Mean time: 19 miliseconds
Steps: 1000 	|	Stiter: 2 	|	K: 5 	|	Lamb: 0,0312	|	Mean price: 800,9435	|	Mean time: 17 miliseconds
Steps: 1000 	|	Stiter: 3 	|	K: 1 	|	Lamb: 0,5000	|	Mean price: 795,0590	|	Mean time: 19 miliseconds
Steps: 1000 	|	Stiter: 3 	|	K: 1 	|	Lamb: 0,2500	|	Mean price: 795,2195	|	Mean time: 18 miliseconds
Steps: 1000 	|	Stiter: 3 	|	K: 1 	|	Lamb: 0,1250	|	Mean price: 794,8075	|	Mean time: 18 miliseconds
Steps: 1000 	|	Stiter: 3 	|	K: 1 	|	Lamb: 0,0625	|	Mean price: 795,3725	|	Mean time: 19 miliseconds
Steps: 1000 	|	Stiter: 3 	|	K: 1 	|	Lamb: 0,0312	|	Mean price: 795,9755	|	Mean time: 18 miliseconds
Steps: 1000 	|	Stiter: 3 	|	K: 2 	|	Lamb: 0,5000	|	Mean price: 794,6560	|	Mean time: 18 miliseconds
Steps: 1000 	|	Stiter: 3 	|	K: 2 	|	Lamb: 0,2500	|	Mean price: 796,2460	|	Mean time: 18 miliseconds
Steps: 1000 	|	Stiter: 3 	|	K: 2 	|	Lamb: 0,1250	|	Mean price: 795,3240	|	Mean time: 20 miliseconds
Steps: 1000 	|	Stiter: 3 	|	K: 2 	|	Lamb: 0,0625	|	Mean price: 796,2925	|	Mean time: 20 miliseconds
Steps: 1000 	|	Stiter: 3 	|	K: 2 	|	Lamb: 0,0312	|	Mean price: 797,3925	|	Mean time: 19 miliseconds
Steps: 1000 	|	Stiter: 3 	|	K: 3 	|	Lamb: 0,5000	|	Mean price: 796,1420	|	Mean time: 18 miliseconds
Steps: 1000 	|	Stiter: 3 	|	K: 3 	|	Lamb: 0,2500	|	Mean price: 796,0140	|	Mean time: 18 miliseconds
Steps: 1000 	|	Stiter: 3 	|	K: 3 	|	Lamb: 0,1250	|	Mean price: 796,4245	|	Mean time: 17 miliseconds
Steps: 1000 	|	Stiter: 3 	|	K: 3 	|	Lamb: 0,0625	|	Mean price: 798,1920	|	Mean time: 15 miliseconds
Steps: 1000 	|	Stiter: 3 	|	K: 3 	|	Lamb: 0,0312	|	Mean price: 797,3960	|	Mean time: 16 miliseconds
Steps: 1000 	|	Stiter: 3 	|	K: 4 	|	Lamb: 0,5000	|	Mean price: 795,4040	|	Mean time: 17 miliseconds
Steps: 1000 	|	Stiter: 3 	|	K: 4 	|	Lamb: 0,2500	|	Mean price: 795,7980	|	Mean time: 17 miliseconds
Steps: 1000 	|	Stiter: 3 	|	K: 4 	|	Lamb: 0,1250	|	Mean price: 796,7645	|	Mean time: 16 miliseconds
Steps: 1000 	|	Stiter: 3 	|	K: 4 	|	Lamb: 0,0625	|	Mean price: 797,3825	|	Mean time: 15 miliseconds
Steps: 1000 	|	Stiter: 3 	|	K: 4 	|	Lamb: 0,0312	|	Mean price: 799,0900	|	Mean time: 17 miliseconds
Steps: 1000 	|	Stiter: 3 	|	K: 5 	|	Lamb: 0,5000	|	Mean price: 796,5125	|	Mean time: 17 miliseconds
Steps: 1000 	|	Stiter: 3 	|	K: 5 	|	Lamb: 0,2500	|	Mean price: 796,6970	|	Mean time: 17 miliseconds
Steps: 1000 	|	Stiter: 3 	|	K: 5 	|	Lamb: 0,1250	|	Mean price: 796,3630	|	Mean time: 18 miliseconds
Steps: 1000 	|	Stiter: 3 	|	K: 5 	|	Lamb: 0,0625	|	Mean price: 799,2630	|	Mean time: 20 miliseconds
Steps: 1000 	|	Stiter: 3 	|	K: 5 	|	Lamb: 0,0312	|	Mean price: 802,6320	|	Mean time: 16 miliseconds
Steps: 1000 	|	Stiter: 4 	|	K: 1 	|	Lamb: 0,5000	|	Mean price: 795,2415	|	Mean time: 23 miliseconds
Steps: 1000 	|	Stiter: 4 	|	K: 1 	|	Lamb: 0,2500	|	Mean price: 795,9635	|	Mean time: 19 miliseconds
Steps: 1000 	|	Stiter: 4 	|	K: 1 	|	Lamb: 0,1250	|	Mean price: 795,9385	|	Mean time: 20 miliseconds
Steps: 1000 	|	Stiter: 4 	|	K: 1 	|	Lamb: 0,0625	|	Mean price: 795,4870	|	Mean time: 18 miliseconds
Steps: 1000 	|	Stiter: 4 	|	K: 1 	|	Lamb: 0,0312	|	Mean price: 796,5925	|	Mean time: 17 miliseconds
Steps: 1000 	|	Stiter: 4 	|	K: 2 	|	Lamb: 0,5000	|	Mean price: 796,0415	|	Mean time: 21 miliseconds
Steps: 1000 	|	Stiter: 4 	|	K: 2 	|	Lamb: 0,2500	|	Mean price: 795,8020	|	Mean time: 18 miliseconds
Steps: 1000 	|	Stiter: 4 	|	K: 2 	|	Lamb: 0,1250	|	Mean price: 797,0270	|	Mean time: 16 miliseconds
Steps: 1000 	|	Stiter: 4 	|	K: 2 	|	Lamb: 0,0625	|	Mean price: 796,3085	|	Mean time: 14 miliseconds
Steps: 1000 	|	Stiter: 4 	|	K: 2 	|	Lamb: 0,0312	|	Mean price: 799,0045	|	Mean time: 13 miliseconds
Steps: 1000 	|	Stiter: 4 	|	K: 3 	|	Lamb: 0,5000	|	Mean price: 797,0815	|	Mean time: 17 miliseconds
Steps: 1000 	|	Stiter: 4 	|	K: 3 	|	Lamb: 0,2500	|	Mean price: 796,5315	|	Mean time: 16 miliseconds
Steps: 1000 	|	Stiter: 4 	|	K: 3 	|	Lamb: 0,1250	|	Mean price: 796,5740	|	Mean time: 14 miliseconds
Steps: 1000 	|	Stiter: 4 	|	K: 3 	|	Lamb: 0,0625	|	Mean price: 798,2230	|	Mean time: 13 miliseconds
Steps: 1000 	|	Stiter: 4 	|	K: 3 	|	Lamb: 0,0312	|	Mean price: 799,6505	|	Mean time: 12 miliseconds
Steps: 1000 	|	Stiter: 4 	|	K: 4 	|	Lamb: 0,5000	|	Mean price: 796,3695	|	Mean time: 13 miliseconds
Steps: 1000 	|	Stiter: 4 	|	K: 4 	|	Lamb: 0,2500	|	Mean price: 796,3600	|	Mean time: 16 miliseconds
Steps: 1000 	|	Stiter: 4 	|	K: 4 	|	Lamb: 0,1250	|	Mean price: 798,4660	|	Mean time: 15 miliseconds
Steps: 1000 	|	Stiter: 4 	|	K: 4 	|	Lamb: 0,0625	|	Mean price: 799,8075	|	Mean time: 13 miliseconds
Steps: 1000 	|	Stiter: 4 	|	K: 4 	|	Lamb: 0,0312	|	Mean price: 799,5610	|	Mean time: 13 miliseconds
Steps: 1000 	|	Stiter: 4 	|	K: 5 	|	Lamb: 0,5000	|	Mean price: 795,9015	|	Mean time: 17 miliseconds
Steps: 1000 	|	Stiter: 4 	|	K: 5 	|	Lamb: 0,2500	|	Mean price: 795,7465	|	Mean time: 16 miliseconds
Steps: 1000 	|	Stiter: 4 	|	K: 5 	|	Lamb: 0,1250	|	Mean price: 798,1655	|	Mean time: 14 miliseconds
Steps: 1000 	|	Stiter: 4 	|	K: 5 	|	Lamb: 0,0625	|	Mean price: 799,3390	|	Mean time: 13 miliseconds
Steps: 1000 	|	Stiter: 4 	|	K: 5 	|	Lamb: 0,0312	|	Mean price: 800,2765	|	Mean time: 12 miliseconds
Steps: 1000 	|	Stiter: 5 	|	K: 1 	|	Lamb: 0,5000	|	Mean price: 795,3915	|	Mean time: 15 miliseconds
Steps: 1000 	|	Stiter: 5 	|	K: 1 	|	Lamb: 0,2500	|	Mean price: 795,2080	|	Mean time: 22 miliseconds
Steps: 1000 	|	Stiter: 5 	|	K: 1 	|	Lamb: 0,1250	|	Mean price: 795,4385	|	Mean time: 16 miliseconds
Steps: 1000 	|	Stiter: 5 	|	K: 1 	|	Lamb: 0,0625	|	Mean price: 796,0310	|	Mean time: 16 miliseconds
Steps: 1000 	|	Stiter: 5 	|	K: 1 	|	Lamb: 0,0312	|	Mean price: 796,2045	|	Mean time: 16 miliseconds
Steps: 1000 	|	Stiter: 5 	|	K: 2 	|	Lamb: 0,5000	|	Mean price: 796,0345	|	Mean time: 15 miliseconds
Steps: 1000 	|	Stiter: 5 	|	K: 2 	|	Lamb: 0,2500	|	Mean price: 796,1205	|	Mean time: 14 miliseconds
Steps: 1000 	|	Stiter: 5 	|	K: 2 	|	Lamb: 0,1250	|	Mean price: 796,4645	|	Mean time: 15 miliseconds
Steps: 1000 	|	Stiter: 5 	|	K: 2 	|	Lamb: 0,0625	|	Mean price: 797,0020	|	Mean time: 14 miliseconds
Steps: 1000 	|	Stiter: 5 	|	K: 2 	|	Lamb: 0,0312	|	Mean price: 796,9320	|	Mean time: 13 miliseconds
Steps: 1000 	|	Stiter: 5 	|	K: 3 	|	Lamb: 0,5000	|	Mean price: 796,4720	|	Mean time: 15 miliseconds
Steps: 1000 	|	Stiter: 5 	|	K: 3 	|	Lamb: 0,2500	|	Mean price: 796,7000	|	Mean time: 14 miliseconds
Steps: 1000 	|	Stiter: 5 	|	K: 3 	|	Lamb: 0,1250	|	Mean price: 796,0970	|	Mean time: 17 miliseconds
Steps: 1000 	|	Stiter: 5 	|	K: 3 	|	Lamb: 0,0625	|	Mean price: 797,9785	|	Mean time: 15 miliseconds
Steps: 1000 	|	Stiter: 5 	|	K: 3 	|	Lamb: 0,0312	|	Mean price: 799,6540	|	Mean time: 15 miliseconds
Steps: 1000 	|	Stiter: 5 	|	K: 4 	|	Lamb: 0,5000	|	Mean price: 795,6265	|	Mean time: 15 miliseconds
Steps: 1000 	|	Stiter: 5 	|	K: 4 	|	Lamb: 0,2500	|	Mean price: 796,2210	|	Mean time: 14 miliseconds
Steps: 1000 	|	Stiter: 5 	|	K: 4 	|	Lamb: 0,1250	|	Mean price: 797,8425	|	Mean time: 21 miliseconds
Steps: 1000 	|	Stiter: 5 	|	K: 4 	|	Lamb: 0,0625	|	Mean price: 799,6420	|	Mean time: 17 miliseconds
