Proportion	Initial	Price	Time
1.2	965.9834999999999	925.8502500000001	32
1.4	959.1785	908.6198	22
1.6	951.7139999999999	898.9297000000005	20
1.8	939.3459999999999	893.8120500000001	20
2.0	943.1590000000002	877.7385500000003	20
2.2	943.4314999999999	866.4290500000002	21
2.4000000000000004	941.7365000000002	855.1472500000001	20
2.6	942.691	852.5401000000004	22
2.8	944.7105000000001	847.5602500000002	19
3.0	944.5904999999999	833.7257000000005	19
3.2	944.314	829.4127500000009	19
3.4000000000000004	941.5939999999998	831.4687000000002	21
3.6000000000000005	942.0075	829.9088500000001	19
3.8	940.3155000000004	823.3008500000003	24
4.0	939.4550000000002	819.9826500000007	19
4.2	936.5	815.4240999999998	18
4.4	939.3114999999998	811.7504499999994	20
4.6000000000000005	945.9825000000001	807.3382000000006	19
4.8	945.1469999999999	805.0504500000005	18
5.0	949.4864999999998	805.1264000000001	18
